1, 6, 16
2, 6, 18
3, 6, 20
4, 6, 24
5, 6, 26
6, 6, 27
7, 6, 33
8, 6, 35
9, 8, 36
10, 9, 5
11, 9, 36
12, 10, 16
13, 10, 36
14, 12, 36
15, 12, 92
16, 12, 95
17, 12, 96
18, 12, 97
19, 12, 98
20, 12, 99
21, 12, 100
22, 12, 102
23, 12, 103
24, 12, 107
25, 12, 112
26, 13, 5
27, 13, 15
28, 13, 16
29, 13, 23
30, 13, 26
31, 13, 27
32, 13, 40
33, 13, 42
34, 13, 43
35, 13, 47
36, 13, 48
37, 13, 49
38, 13, 53
39, 13, 64
40, 13, 68
41, 13, 70
42, 13, 71
43, 13, 72
44, 13, 73
45, 13, 74
46, 13, 75
47, 13, 76
48, 13, 77
49, 13, 78
50, 13, 79
51, 13, 81
52, 13, 82
53, 13, 83
54, 13, 84
55, 13, 85
56, 13, 87
57, 13, 89
58, 13, 90
59, 13, 92
60, 13, 112
61, 14, 5
62, 14, 7
63, 14, 14
64, 14, 92
65, 15, 5
66, 15, 36
67, 15, 92
68, 15, 94
69, 16, 68
70, 16, 70
71, 16, 75
72, 16, 76
73, 16, 77
74, 16, 78
75, 16, 79
76, 16, 81
77, 16, 83
78, 16, 85
79, 16, 88
80, 16, 90
81, 16, 92
82, 16, 96
83, 16, 98
84, 16, 99
85, 16, 100
86, 17, 5
87, 17, 7
88, 17, 14
89, 17, 94
90, 17, 101
91, 17, 105
92, 17, 107
93, 17, 113
94, 17, 118
95, 17, 121
96, 17, 122
97, 18, 94
98, 18, 101
99, 18, 112
100, 18, 122
101, 19, 5
102, 19, 7
103, 19, 14
104, 19, 41
105, 19, 42
106, 19, 44
107, 19, 45
108, 19, 46
109, 19, 47
110, 19, 50
111, 19, 51
112, 19, 53
113, 19, 64
114, 19, 65
115, 20, 5
116, 20, 19
117, 20, 40
118, 20, 94
119, 20, 112
120, 20, 122
121, 21, 5
122, 21, 7
123, 21, 9
124, 21, 10
125, 21, 14
126, 21, 40
127, 21, 66
128, 22, 5
129, 22, 9
130, 22, 12
131, 22, 13
132, 22, 15
133, 22, 23
134, 22, 26
135, 22, 27
136, 22, 40
137, 22, 42
138, 22, 47
139, 22, 48
140, 22, 66
141, 22, 92
142, 22, 94
143, 22, 101
144, 22, 112
145, 22, 122
146, 23, 5
147, 23, 7
148, 23, 9
149, 23, 12
150, 23, 14
151, 23, 40
152, 23, 48
153, 23, 92
154, 24, 5
155, 24, 9
156, 24, 11
157, 24, 19
158, 24, 40
159, 24, 47
160, 24, 59
161, 24, 92
162, 24, 94
163, 24, 101
164, 24, 104
165, 25, 5
166, 25, 7
167, 25, 9
168, 25, 40
169, 25, 94
